Time,Channel B,Channel C
(us),(V),(V)

4.25799985,0.00000000,0.00000000
4.25999985,0.00000000,0.00000000
4.26199985,0.00000000,0.00000000
4.26399985,0.00000000,0.00000000
4.26599985,0.04321481,0.00000000
4.26799985,0.00000000,0.00000000
4.26999985,0.00000000,0.00000000
4.27199985,0.00000000,0.00000000
4.27399985,0.00000000,0.00000000
4.27599985,0.04321481,0.00000000
4.27799985,0.00000000,0.00000000
4.27999985,0.00000000,0.00000000
4.28199985,0.00000000,0.00000000
4.28399985,0.00000000,0.00000000
4.28599985,0.00000000,0.00000000
4.28799985,0.00000000,0.00000000
4.28999985,0.00000000,0.00000000
4.29199985,0.00000000,0.00000000
4.29399985,-0.04321481,0.00000000
4.29599985,0.00000000,0.00000000
4.29799985,0.00000000,0.00000000
4.29999985,0.00000000,0.00000000
4.30199985,0.00000000,0.00000000
4.30399985,0.00000000,0.00000000
4.30599985,0.00000000,0.00000000
4.30799985,0.04321481,0.00000000
4.30999985,0.00000000,0.00000000
4.31199985,0.00000000,0.08612204
4.31399985,0.00000000,0.00000000
4.31599985,0.00000000,0.00000000
4.31799985,0.00000000,0.00000000
4.31999985,0.00000000,0.00000000
4.32199985,0.04321481,0.00000000
4.32399985,0.00000000,0.00000000
4.32599985,0.00000000,0.00000000
4.32799985,0.00000000,0.00000000
4.32999985,0.04321481,0.00000000
4.33199985,0.00000000,0.00000000
4.33399985,0.00000000,0.00000000
4.33599985,0.00000000,0.00000000
4.33799985,0.00000000,0.00000000
4.33999985,0.00000000,0.00000000
4.34199985,0.00000000,0.00000000
4.34399985,0.00000000,0.00000000
4.34599985,0.00000000,0.00000000
4.34799985,0.00000000,0.00000000
4.34999985,0.00000000,0.00000000
4.35199985,0.00000000,0.00000000
4.35399985,0.04321481,0.00000000
4.35599985,0.00000000,0.00000000
4.35799985,0.00000000,0.00000000
4.35999985,0.00000000,0.00000000
4.36199985,0.00000000,0.00000000
4.36399985,0.00000000,0.00000000
4.36599985,0.00000000,0.00000000
4.36799985,0.00000000,0.00000000
4.36999985,0.00000000,0.00000000
4.37199985,0.00000000,0.00000000
4.37399985,0.04321481,0.00000000
4.37599985,0.00000000,0.00000000
4.37799985,0.00000000,0.00000000
4.37999985,0.00000000,0.00000000
4.38199985,0.00000000,0.00000000
4.38399985,0.00000000,0.00000000
4.38599985,0.00000000,0.00000000
4.38799985,0.00000000,0.00000000
4.38999985,0.00000000,0.00000000
4.39199985,0.00000000,0.00000000
4.39399985,0.04321481,0.00000000
4.39599985,-0.04321481,0.00000000
4.39799985,0.00000000,0.00000000
4.39999985,0.00000000,0.00000000
4.40199985,0.00000000,0.00000000
4.40399985,0.00000000,0.00000000
4.40599985,0.00000000,0.00000000
4.40799985,0.00000000,0.00000000
4.40999985,0.00000000,0.00000000
4.41199985,0.04321481,0.00000000
4.41399985,0.00000000,0.00000000
4.41599985,0.00000000,0.00000000
4.41799985,0.04321481,0.00000000
4.41999985,0.00000000,0.00000000
4.42199985,0.00000000,0.00000000
4.42399985,0.00000000,0.00000000
4.42599985,0.00000000,0.00000000
4.42799985,0.00000000,0.00000000
4.42999985,0.00000000,0.00000000
4.43199985,0.00000000,0.00000000
4.43399985,0.00000000,0.00000000
4.43599985,0.00000000,0.00000000
4.43799985,0.00000000,0.00000000
4.43999985,0.04321481,0.00000000
4.44199985,0.00000000,0.00000000
4.44399985,0.00000000,0.00000000
4.44599985,0.00000000,0.00000000
4.44799985,0.00000000,0.00000000
4.44999985,0.00000000,0.00000000
4.45199985,0.00000000,0.00000000
4.45399985,0.00000000,0.00000000
4.45599985,0.00000000,0.00000000
4.45799985,0.00000000,0.00000000
4.45999985,0.00000000,0.00000000
4.46199985,0.00000000,0.00000000
4.46399985,0.00000000,0.00000000
4.46599985,0.00000000,0.00000000
4.46799985,0.00000000,0.00000000
4.46999985,0.00000000,0.00000000
4.47199985,0.00000000,0.00000000
4.47399985,0.04321481,0.00000000
4.47599985,0.00000000,0.00000000
4.47799985,0.00000000,0.00000000
4.47999985,0.00000000,0.00000000
4.48199985,0.00000000,0.00000000
4.48399985,0.04321481,0.00000000
4.48599985,0.00000000,0.00000000
4.48799985,0.04321481,0.00000000
4.48999985,0.00000000,0.00000000
4.49199985,0.00000000,0.00000000
4.49399985,0.00000000,0.00000000
4.49599985,0.00000000,0.08612204
4.49799985,0.00000000,0.00000000
4.49999985,0.00000000,0.00000000
4.50199985,0.00000000,0.00000000
4.50399985,0.04321481,0.00000000
4.50599985,0.00000000,0.00000000
4.50799985,0.00000000,0.00000000
4.50999985,0.00000000,0.00000000
4.51199985,0.00000000,0.00000000
4.51399985,0.00000000,0.00000000
4.51599985,0.00000000,0.00000000
4.51799985,0.00000000,0.00000000
4.51999985,0.00000000,0.00000000
4.52199985,0.00000000,0.00000000
4.52399985,0.00000000,0.00000000
4.52599985,0.00000000,0.00000000
4.52799985,0.00000000,0.00000000
4.52999985,0.00000000,0.00000000
4.53199985,0.04321481,0.00000000
4.53399985,0.00000000,0.00000000
4.53599985,0.00000000,0.00000000
4.53799985,0.00000000,0.00000000
4.53999985,0.00000000,0.00000000
4.54199985,0.00000000,0.00000000
4.54399985,0.00000000,0.00000000
4.54599985,0.00000000,0.00000000
4.54799985,0.00000000,0.00000000
4.54999985,0.00000000,0.00000000
4.55199985,0.00000000,0.00000000
4.55399985,0.00000000,0.00000000
4.55599985,0.00000000,0.00000000
4.55799985,0.00000000,0.00000000
4.55999985,0.00000000,0.00000000
4.56199985,0.00000000,0.00000000
4.56399985,0.00000000,0.00000000
4.56599985,0.00000000,0.00000000
4.56799985,0.00000000,0.00000000
4.56999984,0.00000000,0.00000000
4.57199984,0.00000000,0.00000000
4.57399984,0.00000000,0.00000000
4.57599984,0.00000000,0.00000000
4.57799984,0.00000000,0.00000000
4.57999984,0.00000000,0.00000000
4.58199984,0.00000000,0.00000000
4.58399984,0.00000000,0.00000000
4.58599984,0.00000000,0.00000000
4.58799984,0.00000000,0.00000000
4.58999984,0.00000000,0.00000000
4.59199984,0.00000000,0.00000000
